Gene	Gene name	Cancer	High	Medium	Low	Not detected	prognostic - unfavourable
ENSG00000000457	SCYL3	urothelial cancer	0	2	4	6	
ENSG00000001084	GCLC	renal cancer	0	8	4	0	
ENSG00000001460	STPG1	endometrial cancer					
ENSG00000001460	STPG1	renal cancer					
ENSG00000001461	NIPAL3	renal cancer	4	8	0	0	
ENSG00000001461	NIPAL3	thyroid cancer	4	0	0	0	
ENSG00000001561	ENPP4	renal cancer	0	8	4	0	
ENSG00000002587	HS3ST1	endometrial cancer	0	0	3	8	
ENSG00000002587	HS3ST1	renal cancer	0	0	2	9	
ENSG00000002587	HS3ST1	urothelial cancer	0	0	0	12	
ENSG00000002726	AOC1	prostate cancer	0	5	2	4	
ENSG00000003147	ICA1	renal cancer	1	3	3	5	
ENSG00000003249	DBNDD1	renal cancer	0	3	6	3	
ENSG00000003402	CFLAR	head and neck cancer	2	2	0	0	
ENSG00000003509	NDUFAF7	lung cancer	4	6	0	0	
ENSG00000003756	RBM5	lung cancer	11	1	0	0	
ENSG00000003756	RBM5	pancreatic cancer	10	2	0	0	
ENSG00000004455	AK2	breast cancer	3	9	0	0	
ENSG00000004468	CD38	endometrial cancer	0	0	0	12	
ENSG00000004487	KDM1A	colorectal cancer	0	3	3	5	
ENSG00000004534	RBM6	pancreatic cancer	3	5	1	2	
ENSG00000004534	RBM6	urothelial cancer	4	3	1	3	
ENSG00000004660	CAMKK1	pancreatic cancer	0	0	5	4	
ENSG00000004766	VPS50	renal cancer	0	5	3	3	
ENSG00000004779	NDUFAB1	renal cancer	0	0	1	9	
ENSG00000004838	ZMYND10	renal cancer					
ENSG00000004864	SLC25A13	renal cancer	0	4	4	4	
ENSG00000004866	ST7	renal cancer	0	0	0	12	
ENSG00000004897	CDC27	colorectal cancer	3	4	5	0	
ENSG00000004961	HCCS	renal cancer	0	3	6	3	
ENSG00000004975	DVL2	pancreatic cancer	0	7	4	0	
ENSG00000005007	UPF1	renal cancer	0	1	1	9	
ENSG00000005022	SLC25A5	cervical cancer	1	11	0	0	
ENSG00000005022	SLC25A5	colorectal cancer	4	8	0	0	
ENSG00000005022	SLC25A5	renal cancer	0	0	5	7	
ENSG00000005108	THSD7A	renal cancer	0	0	0	10	
